word,assigned_domain,similarity_score
black,appearance_style,0.8790753
color,appearance_style,0.8725816
grey,appearance_style,0.87179875
gray,appearance_style,0.86520827
colored,appearance_style,0.84809434
white,appearance_style,0.84158045
old,age_era,0.8268498
blue,appearance_style,0.82647717
grey-black,appearance_style,0.8205422
older,age_era,0.80098546
gray-colored,appearance_style,0.8002432
blue-grey,appearance_style,0.79236716
red,appearance_style,0.79207563
70s,age_era,0.7865059
colors,appearance_style,0.78517115
parking,context_environment,0.7814927
grayish,appearance_style,0.7792505
80s,age_era,0.7770675
colorful,appearance_style,0.7660483
vintage,age_era,0.7562529
parked,context_environment,0.75564986
newer,age_era,0.7532966
purple,appearance_style,0.75172067
powerful,condition_functionality,0.7408836
60-70s,age_era,0.74057126
green,appearance_style,0.73873895
eighties,age_era,0.7335109
attractive,evaluation,0.7334201
70-80s,age_era,0.7305972
90s,age_era,0.727302
60s,age_era,0.7248715
1970s,age_era,0.72153115
blackish-blue,appearance_style,0.72086096
yellow,appearance_style,0.71921843
park,context_environment,0.7180715
dated,age_era,0.71333313
strong,condition_functionality,0.71295935
bluish-gray,appearance_style,0.7123473
dark,appearance_style,0.71143734
road,context_environment,0.7073976
fast,condition_functionality,0.70440054
good,evaluation,0.70098174
seventies,age_era,0.70088124
darker,appearance_style,0.69916
blueish,appearance_style,0.6962125
orange,appearance_style,0.69102633
driveway,context_environment,0.6908202
old-looking,age_era,0.68984354
pretty,evaluation,0.6893767
mid-90s,age_era,0.68764764
outside,context_environment,0.6867157
outdated,age_era,0.68503153
outdoor,context_environment,0.6849457
nice,evaluation,0.68429667
garage,context_environment,0.6812754
ugly,evaluation,0.6811787
orange-red,appearance_style,0.67905766
sixties,age_era,0.6789088
street,context_environment,0.67862856
outdoors,context_environment,0.6762425
reddish-brown,appearance_style,0.6731832
1980s,age_era,0.67309916
age,age_era,0.6723029
off-white,appearance_style,0.670905
brown,appearance_style,0.6704383
driveways,context_environment,0.669869
pinkish,appearance_style,0.66796064
parks,context_environment,0.66605484
cream-colored,appearance_style,0.66293335
painted,appearance_style,0.6627348
black-ish,appearance_style,0.6622085
location,context_environment,0.659529
1970,age_era,0.6589678
decade,age_era,0.657941
beauty,evaluation,0.65623236
grass,context_environment,0.65437865
ago,age_era,0.6543359
clean,condition_functionality,0.6535843
