word,assigned_domain,similarity_score
black,appearance_style,0.8822112
color,appearance_style,0.8669199
colored,appearance_style,0.8409707
grey,appearance_style,0.84074366
white,appearance_style,0.83962786
gray,appearance_style,0.8291036
old,age_era,0.82762516
blue,appearance_style,0.82640743
grey-black,appearance_style,0.79777515
red,appearance_style,0.79707783
70s,age_era,0.79418355
older,age_era,0.78986084
80s,age_era,0.78830874
colors,appearance_style,0.7837434
blue-grey,appearance_style,0.77392316
gray-colored,appearance_style,0.7671905
colorful,appearance_style,0.7663648
purple,appearance_style,0.7492683
60-70s,age_era,0.7473181
vintage,age_era,0.74400604
90s,age_era,0.7436683
grayish,appearance_style,0.7434627
newer,age_era,0.7419647
eighties,age_era,0.7403729
70-80s,age_era,0.738081
parking,context_environment,0.7374454
powerful,condition_functionality,0.73632324
green,appearance_style,0.73434854
parked,context_environment,0.73089767
60s,age_era,0.7301212
dated,age_era,0.726709
1970s,age_era,0.72275615
yellow,appearance_style,0.7181681
strong,condition_functionality,0.7161716
blackish-blue,appearance_style,0.7155971
dark,appearance_style,0.7141169
road,context_environment,0.712975
seventies,age_era,0.7067704
fast,condition_functionality,0.7067463
attractive,evaluation,0.7008412
outdoor,context_environment,0.6979424
good,evaluation,0.6973298
park,context_environment,0.69645286
outside,context_environment,0.6962449
mid-90s,age_era,0.696071
darker,appearance_style,0.6954185
orange,appearance_style,0.69417167
blueish,appearance_style,0.6941089
nice,evaluation,0.693303
bluish-gray,appearance_style,0.6911483
outdoors,context_environment,0.68687356
orange-red,appearance_style,0.68518436
outdated,age_era,0.6844572
sixties,age_era,0.68358904
driveway,context_environment,0.68348885
street,context_environment,0.6815398
1980s,age_era,0.67437017
garage,context_environment,0.67196274
pretty,evaluation,0.6712078
off-white,appearance_style,0.671039
age,age_era,0.67100656
old-looking,age_era,0.67002076
grass,context_environment,0.6698746
pinkish,appearance_style,0.66883063
painted,appearance_style,0.6650282
driveways,context_environment,0.6643287
decade,age_era,0.6639457
1970,age_era,0.6636346
black-ish,appearance_style,0.6634724
reddish-brown,appearance_style,0.66322345
ugly,evaluation,0.66297376
location,context_environment,0.66191614
brown,appearance_style,0.6617325
ago,age_era,0.65610933
clean,condition_functionality,0.6544908
roads,context_environment,0.6541151
cream-colored,appearance_style,0.65355456
parks,context_environment,0.6530678
yellow-orange,appearance_style,0.6530129
building,context_environment,0.6527307
pavement,context_environment,0.64795756
1960s,age_era,0.64700544
outdoorsy,context_environment,0.64520514
place,context_environment,0.64508504
slow,condition_functionality,0.6448518
nearby,context_environment,0.64427537
lawn,context_environment,0.64348495
hard,condition_functionality,0.6423651
urban,context_environment,0.64229405
heavy,condition_functionality,0.6422013
excellent,evaluation,0.64193547
buildings,context_environment,0.6394998
beautiful,evaluation,0.638518
sidewalk,context_environment,0.6379395
years,age_era,0.6375308
younger,age_era,0.6360578
speed,condition_functionality,0.6339983
beauty,evaluation,0.6338674
great,evaluation,0.63253
roof,context_environment,0.63216364
houses,context_environment,0.6315021
garden,context_environment,0.6312678
faster,condition_functionality,0.63119787
cars,context_environment,0.6303553
power,condition_functionality,0.62833333
amazing,evaluation,0.62802017
light,appearance_style,0.6273854
greenish,appearance_style,0.62733424
decades,age_era,0.62724084
past,age_era,0.6258482
creepy,evaluation,0.62569296
tough,condition_functionality,0.6241589
surrounding,context_environment,0.62300426
bad,evaluation,0.6220762
paved,context_environment,0.62159467
land,context_environment,0.6206456
scenery,context_environment,0.62027156
easy,condition_functionality,0.62021667
wonderful,evaluation,0.61992794
hot,evaluation,0.6197592
2000s,age_era,0.61961246
